direction_name,wheelchair_accessible,block_id,trip_id,direction_id,shape_id,route_id,service_id,trip_headsign
Eastbound,1,b_461003_Timetable_-_2025-12,2713__461003_Timetable_-_2025-12,0,100.0.19526496012_Timetable_-_2025-12,902,SatSun_merged_94406,B - Trulls
Eastbound,1,b_461006_Timetable_-_2025-12,2714__461006_Timetable_-_2025-12,0,100.0.19526496012_Timetable_-_2025-12,902,SatSun_merged_94406,B - Trulls
Eastbound,1,b_461004_Timetable_-_2025-12,2715__461004_Timetable_-_2025-12,0,100.0.19526496012_Timetable_-_2025-12,902,SatSun_merged_94406,B - Trulls
Eastbound,1,b_461001_Timetable_-_2025-12,2716__461001_Timetable_-_2025-12,0,100.0.19526496012_Timetable_-_2025-12,902,SatSun_merged_94406,B - Trulls
Eastbound,1,b_461002_Timetable_-_2025-12,2717__461002_Timetable_-_2025-12,0,100.0.19526496012_Timetable_-_2025-12,902,SatSun_merged_94406,B - Trulls
Eastbound,1,b_461003_Timetable_-_2025-12,2718__461003_Timetable_-_2025-12,0,100.0.19526496012_Timetable_-_2025-12,902,SatSun_merged_94406,B - Trulls
Eastbound,1,b_461006_Timetable_-_2025-12,2719__461006_Timetable_-_2025-12,0,100.0.19526496012_Timetable_-_2025-12,902,SatSun_merged_94406,B - Trulls
Northbound,1,b_401017_Timetable_-_2025-12,271__401017_Timetable_-_2025-12,0,100.0.1672883331_Timetable_-_2025-12,423,Weekday_merged_94407,Harmony Terminal
Eastbound,1,b_461010_Timetable_-_2025-12,2720__461010_Timetable_-_2025-12,0,100.0.1952649604_Timetable_-_2025-12,902,SatSun_merged_94406,Simpson
Eastbound,1,b_461031_Timetable_-_2025-12,2721__461031_Timetable_-_2025-12,0,100.0.1952649604_Timetable_-_2025-12,902,SatSun_merged_94406,Simpson
Eastbound,1,b_461027_Timetable_-_2025-12,2722__461027_Timetable_-_2025-12,0,100.0.1952649604_Timetable_-_2025-12,902,SatSun_merged_94406,Simpson
Eastbound,1,b_461025_Timetable_-_2025-12,2723__461025_Timetable_-_2025-12,0,100.0.1952649604_Timetable_-_2025-12,902,SatSun_merged_94406,Simpson
