station_id,external_id,name,physical_configuration,lat,lon,altitude,address,cross_street,post_code,capacity,is_charging_station,geofenced_capacity,rental_methods,is_virtual_station,groups,nearby_distance,_bluetooth_id,_ride_code_support,rental_uris,obcn,short_name,is_valet_station
110,eb168bce-df87-11ef-b9d3-0681a956ccf1,110 - CL 127 con KR 21,REGULAR,4.7060704,-74.0526254,,Av. Calle 127 entre Carrera 21A Bis y Av. Carrera 45,SANTA BARBARA OCCIDENTAL,1111,11,False,0,"['key', 'transitcard', 'creditcard', 'phone']",False,[],1000.0,d03b,True,{},,,
111,eb168dfc-df87-11ef-b9d3-0681a956ccf1,111 - KR 4 con CL 17,REGULAR,4.60152,-74.069558,,Carrera 4 entre Calle 17 y Calle 16,VERACRUZ,1111,23,False,0,"['key', 'transitcard', 'creditcard', 'phone']",False,[],1000.0,9a36,True,{},,,
112,eb16901c-df87-11ef-b9d3-0681a956ccf1,112 - KR 13 con CL 42,REGULAR,4.6294984,-74.0669382,,Carrera 13 entre Calle 41 y Calle 42,,1111,7,False,0,"['key', 'transitcard', 'creditcard', 'phone']",False,[],1000.0,3fb7,True,{},,,
113,eb16923b-df87-11ef-b9d3-0681a956ccf1,113 - CL 22 con KR 4,REGULAR,4.606051,-74.06752,,Calle 22 entre Carrera 3 y Carrera 4,LAS NIEVES,1111,27,False,0,"['key', 'transitcard', 'creditcard', 'phone']",False,[],1000.0,ce93,True,{},,,
120,eb16a42d-df87-11ef-b9d3-0681a956ccf1,120 - Parque de la 93,REGULAR,4.6774713,-74.0488457,,Calle 93B entre Carrera 13 y Carrera 11A,CHICO NORTE,1111,23,False,0,"['key', 'transitcard', 'creditcard', 'phone']",False,[],1000.0,fb85,True,{},,,
129,eb16bafd-df87-11ef-b9d3-0681a956ccf1,129 - CL 119 con KR 11D,REGULAR,4.698477,-74.037225,,Calle 119 entre Carrera 11B y Carrera 11D,SANTA BARBARA CENTRAL,1111,19,False,0,"['key', 'transitcard', 'creditcard', 'phone']",False,[],1000.0,055b,True,{},,,
130,eb16bd3a-df87-11ef-b9d3-0681a956ccf1,130 - KR 15 con CL 122,REGULAR,4.700285,-74.043097,,Carrera 15 entre Calle 119 y Calle 122,,1111,7,False,0,"['key', 'transitcard', 'creditcard', 'phone']",False,[],1000.0,0db1,True,{},,,
132,eb16c1b0-df87-11ef-b9d3-0681a956ccf1,132 - TV 6 con CL 27,REGULAR,4.6140178,-74.0687274,,Transversal 6 entre Calle 27 y Calle 27 Bis,SAN DIEGO,1111,15,False,0,"['key', 'transitcard', 'creditcard', 'phone']",False,[],1000.0,8d39,True,{},,,
138,eb16cf6d-df87-11ef-b9d3-0681a956ccf1,138 - CL 85 con KR 10,REGULAR,4.666827,-74.049833,,Av. Calle 85 entre Carrera 9 y Carrera 10,LA ALAMEDA,1111,11,False,0,"['key', 'transitcard', 'creditcard', 'phone']",False,[],1000.0,bb40,True,{},,,
139,eb16d1b5-df87-11ef-b9d3-0681a956ccf1,139 - CL 32 BIS A con KR 13,ELECTRICBIKESTATION,4.619562,-74.069252,,Calle 32 Bis a entre Carrera 13 y Av Calle 32,,1111,19,True,0,"['key', 'transitcard', 'creditcard', 'phone']",False,[],1000.0,53f6,True,{},,,
149,eb16eb4b-df87-11ef-b9d3-0681a956ccf1,149 - Av. Caracas con CL 67,REGULAR,4.654364,-74.062664,,Av. Caracas entre Calle 67 y Calle 68,,1111,11,False,0,"['key', 'transitcard', 'creditcard', 'phone']",False,[],1000.0,e160,True,{},,,
